S. No.,AISHE Code,Institute Name,State Name,Management Type
125,C-47471,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, GANDHINAGAR",Gujarat,Central Government
126,S-15086,National Institute of Occupational Health,Gujarat,Central Government
127,S-17498,National Institute of Pharmaceutical Education and Research Ahmedabad,Gujarat,Central Government
128,U-0595,"Rashtriya Raksha University, Gujarat",Gujarat,Central Government
129,U-0149,Sardar Vallabhbhai National Institute of Technology,Gujarat,Central Government
130,S-104,UDAYBHANSINHJI REGIONAL INSTITUTE OF CO-OPERATIVE MANAGEMENT,Gujarat,Central Government
131,S-932,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING &  TECHNOLOGY,Haryana,Central Government
132,U-0158,"Central University of Haryana, Mahendergarh",Haryana,Central Government
133,C-10775,"Desh Bandhu Gupta Govt. College, Panipat",Haryana,Central Government
134,C-56398,ESIC MEDICAL COLLEGE AND HOSPITAL,Haryana,Central Government
135,C-58648,Footwear Design and Development Institute - Rohtak,Haryana,Central Government
136,U-0171,ICAR - National Dairy Research Institute,Haryana,Central Government
137,U-0800,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SONIPAT",Haryana,Central Government
138,U-1015,Indian Institute of Management Rohtak,Haryana,Central Government
139,U-0170,"National Brain Research Centre, Gurgaon",Haryana,Central Government
140,S-117,NATIONAL COUNCIL FOR CEMENT AND BUILDING MATERIALS,Haryana,Central Government
141,U-1073,National Institute of Design Haryana,Haryana,Central Government
142,C-65740,NATIONAL INSTITUTE OF FASHION TECHNOLOGY PANCHKULA,Haryana,Central Government
143,U-0989,"National Institute of Food Technology, Enterprenurship and Management",Haryana,Central Government
144,U-0172,"National Institute of Technology, Kurukshetra",Haryana,Central Government
145,C-28262,"National Power Training Institute ,  Faridabad.",Haryana,Central Government
146,U-1055,REGIONAL CENTRE FOR BIOTECHNOLOGY,Haryana,Central Government
147,U-1218,ALL INDIA INSTITUTE OF MEDICAL SCIENCE,Himachal Pradesh,Central Government
148,C-11398,"Central Research Institute. Kasauli, Distt Solan",Himachal Pradesh,Central Government
149,U-0178,"Central University of Himachal Pradesh, Dharmshala, Kangra",Himachal Pradesh,Central Government
150,S-18693,CIPET  CSTS  BADDI,Himachal Pradesh,Central Government
151,U-0797,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA",Himachal Pradesh,Central Government
152,U-1005,Indian Institute of Management Sirmaur,Himachal Pradesh,Central Government
153,U-0184,Indian Institute of Technology Mandi,Himachal Pradesh,Central Government
154,U-0189,"National Institute of Technology, Hamirpur",Himachal Pradesh,Central Government
155,U-1152,ALL INDIA INSTITUTE OF MEDICAL SCIENCE,Jammu and Kashmir,Central Government
156,U-0631,CENTRAL UNIVERSITY OF JAMMU,Jammu and Kashmir,Central Government
157,U-0193,"Central University of Kashmir, Srinagar",Jammu and Kashmir,Central Government
158,C-47452,"COMPOSITE REGIONAL CENTRE, MINISTRY OF SOCIAL JUSTICE EMPOWERMENT, BEMINA",Jammu and Kashmir,Central Government
159,U-1004,Indian Institute of Management Jammu (IIMJ),Jammu and Kashmir,Central Government
160,U-0906,Indian Institute of Technology Jammu,Jammu and Kashmir,Central Government
161,S-20120,NATIONAL INSTITUTE OF FASHION TECHNOLOGY,Jammu and Kashmir,Central Government
