Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-18996,"M.D.D.M. College, Muzaffarpur",Bihar,Muzaffarpur,www.mddmcollege.ac.in,1946,Urban,Constituent / University College,University,U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-16170,Medical College,Maharashtra,Kolhapur,www.dypatilmedicalkop.org,1989,Urban,Constituent / University College,Private Un-Aided,U-0294,"D.Y. Patil Educational Society , Kolhapur",Deemed University-Private
C-35443,"Medical College and Hospital, Sangli",Maharashtra,Sangli,http://mchsangli.bharatividyapeeth.edu,2005,Urban,Constituent / University College,Private Un-Aided,U-0292,"Bharati Vidyapeeth, Pune",Deemed University-Private
C-75883,MEDICAL COLLEGE BARODA,Gujarat,Vadodara,https://www.medicalcollegebaroda.edu.in/,1949,Urban,Constituent / University College,State Government,U-0143,"Maharaja Sayajirao University of Baroda, Vadodara",State Public University
C-35423,"Medical College, Pune",Maharashtra,Pune,http://mcpune.bharatividyapeeth.edu,1989,Urban,Constituent / University College,Private Un-Aided,U-0292,"Bharati Vidyapeeth, Pune",Deemed University-Private
C-36319,"Meenakshi College of Nursing, Mangadu, Chennai",Tamil Nadu,Kancheepuram,-,-,-,Constituent / University College,-,U-0465,"Meenakshi Academy of Higher Education and Research, Chennai",Deemed University-Private
C-36317,"Meenakshi College of Physiotherapy, Chennai",Tamil Nadu,Chennai,-,-,-,Constituent / University College,-,U-0465,"Meenakshi Academy of Higher Education and Research, Chennai",Deemed University-Private
C-36318,"Meenakshi Medical College and Research Institute, Enathurm Kanchipuram",Tamil Nadu,Kancheepuram,-,-,-,Constituent / University College,-,U-0465,"Meenakshi Academy of Higher Education and Research, Chennai",Deemed University-Private
C-36918,Meera Bai DSEU Maharani Bagh Campus,Delhi,South West,-,1962,Urban,Constituent / University College,State Government,U-1146,Delhi Skill and Entrepreneurship University,State Public University
C-46331,"MELAKA MANIPAL MEDICAL COLLEGE, MANIPAL",Karnataka,Udupi,www.manipal.edu,1997,Urban,Constituent / University College,Private Un-Aided,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-56858,MGM Institutes University Department of Prosthetics and Orthotics,Maharashtra,Raigad,www.mgmudpo.edu.in,2016,Urban,Constituent / University College,Private Un-Aided,U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Deemed University-Private
C-44882,"MGM New Bombay College of Nursing, Navi Mumbai",Maharashtra,Raigad,www.mgmudn-nm.edu.in,2008,Urban,Constituent / University College,Private Un-Aided,U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Deemed University-Private
C-57262,MGM School of Biomedical Sciences,Maharashtra,Chhatrapati Sambhajinagar,www.mgmsbsa.org,2010,Urban,Constituent / University College,Private Un-Aided,U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Deemed University-Private
C-44878,"MGM School of Biomedical Sciences, Navi Mumbai",Maharashtra,Raigad,mgmsbsnm.edu.in,2007,Urban,Constituent / University College,Private Un-Aided,U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Deemed University-Private
C-76473,"MGM SCHOOL OF NURSING,VASHI",Maharashtra,Thane,www.mgmuhs.com,2025,Urban,Constituent / University College,Private Un-Aided,U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Deemed University-Private
C-72381,"MGM SCHOOL OF PHARMACY, NAVI MUMBAI",Maharashtra,Thane,WWW.MGMUHS.COM,2023,Urban,Constituent / University College,Private Un-Aided,U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Deemed University-Private
C-44877,"MGM School of Physiotherapy, Aurangabad",Maharashtra,Chhatrapati Sambhajinagar,www.mgmsop.edu.in,2008,Urban,Constituent / University College,Private Un-Aided,U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Deemed University-Private
C-44880,"MGM School of Physiotherapy, Navi Mumbai",Maharashtra,Raigad,www.mgmsopnm.edu.in,2008,Urban,Constituent / University College,Private Un-Aided,U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Deemed University-Private
C-29639,"M.H.M. College, Sonbarsa",Bihar,Saharsa,www.mhmcollegesonbarsa.in,1969,Urban,Constituent / University College,State Government,U-0059,"Bhupendra Narayan Mandal University, Madhepura",State Public University
C-8722,Millat College,Bihar,Darbhanga,www.millatcollege.ac.in,1957,Urban,Constituent / University College,University,U-0068,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-45396,"MILLAT COLLEGE, GODDA",Jharkhand,Godda,https://www.millatcollegeparsa.ac.in,1968,Rural,Constituent / University College,State Government,U-0210,"Sido Kanhu Murmu University, Dumka",State Public University
C-6355,Miranda House,Delhi,North,www.mirandahouse.ac.in,1948,Urban,Constituent / University College,Central Government,U-0120,University of Delhi,Central University
C-7194,M.J. College of Commerce,Gujarat,Bhavnagar,www.mjccbhavnagar.org,1949,Urban,Constituent / University College,Private Aided (Government Aided),U-0124,Maharaja Krishnakumarsinhji Bhavnagar University,State Public University
C-19030,"M.J.K. College, Bettiah",Bihar,Pashchim Champaran,www.mjkcollege.ac.in,1955,Urban,Constituent / University College,University,U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-29631,"M.J.M. Mahila College, Katihar",Bihar,Katihar,www.mjmmahilacollege.in,1962,Urban,Constituent / University College,State Government,U-0999,"PURNEA UNIVERSITY, PURNIA",State Public University
C-7224,M K Amin Arts and Science & College of Commerce,Gujarat,Vadodara,-,-,-,Constituent / University College,University,U-0143,"Maharaja Sayajirao University of Baroda, Vadodara",State Public University
C-8769,M.K.S. College,Bihar,Darbhanga,www.mkscollege.ac.in,1967,Rural,Constituent / University College,University,U-0068,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-29612,"M.L. Arya College, Kasba",Bihar,Purnia,www.mlaryacollegekasba.ac.in,1971,Urban,Constituent / University College,State Government,U-0999,"PURNEA UNIVERSITY, PURNIA",State Public University
C-8740,M. L.S. College,Bihar,Madhubani,www.mlscollege.ac.in,1959,Rural,Constituent / University College,University,U-0068,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-8768,M.L.S.M. College,Bihar,Darbhanga,www.mlsmcollege.ac.in,1979,Urban,Constituent / University College,University,U-0068,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-29614,"M.L.T. College, Saharsa",Bihar,Saharsa,www.mltcollege.ac.in,1952,Urban,Constituent / University College,University,U-0059,"Bhupendra Narayan Mandal University, Madhepura",State Public University
