Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
223,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Communication Systems,Group 1,SC,276,276
224,National Spot Round,"National Institute of Technology, Tiruchirappalli",Communication Systems,Group 1,EWS,502,471
225,National Spot Round,"National Institute of Technology, Tiruchirappalli",Communication Systems,Group 1,OPEN,534,530
226,National Spot Round,"National Institute of Technology, Tiruchirappalli",Communication Systems,Group 1,ST,291,291
227,National Spot Round,"National Institute of Technology, Kurukshetra",Communication Systems,Group 1,OBC-NCL,370,354
228,National Spot Round,"National Institute of Technology, Kurukshetra",Communication Systems,Group 1,OPEN,385,370
229,National Spot Round,"National Institute of Technology, Tiruchirappalli",Communication Systems,Group 1,OBC-NCL,518,499
230,National Spot Round,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",M.Tech. Drones and IoT,Group 1,OPEN,358,358
231,National Spot Round,National Institute of Technology Andhra Pradesh,Computer Science and Data Analytics,Group 1,OBC-NCL,410,390
232,National Spot Round,National Institute of Technology Andhra Pradesh,Computer Science and Data Analytics,Group 1,OPEN,434,418
233,National Spot Round,Malaviya National Institute of Technology Jaipur,Design Engineering,Group 1,OPEN,442,421
234,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,Group 1,OBC-NCL,443,423
235,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,Group 1,EWS,448,420
236,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,Group 1,OPEN,485,471
237,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,Group 1,SC,318,311
238,National Spot Round,"National Institute of Technology, Tiruchirappalli",Data Analytics,Group 1,OBC-NCL,622,614
239,National Spot Round,"National Institute of Technology, Tiruchirappalli",Data Analytics,Group 1,EWS,638,632
240,National Spot Round,"National Institute of Technology, Tiruchirappalli",Data Analytics,Group 1,OPEN,689,688
241,National Spot Round,"National Institute of Technology, Tiruchirappalli",Data Analytics,Group 1,ST,375,375
