Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1495,Special Round 2,"Sardar Vallabhbhai National Institute of Technology, Surat",Construction Technology and Management,Group 1,EWS,333,333
1496,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Construction Technology and Management,Group 1,OPEN,486,483
1497,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Construction Technology and Management,Group 1,SC,344,344
1498,Special Round 2,"National Institute of Technology, Rourkela",Construction Technology and Management,Group 1,OBC-NCL,370,370
1499,Special Round 2,"National Institute of Technology, Rourkela",Construction Technology and Management,Group 1,OPEN,393,389
1500,Special Round 2,"National Institute of Technology, Kurukshetra",Control System,Group 1,OBC-NCL,338,338
1501,Special Round 2,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,Group 1,OPEN,592,585
1502,Special Round 2,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,Group 1,SC,410,402
1503,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,OBC-NCL,579,572
1504,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,EWS,579,579
1505,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,OPEN,605,602
1506,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,SC,443,443
1507,Special Round 2,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,OBC-NCL,694,691
1508,Special Round 2,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,EWS,727,727
1509,Special Round 2,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,OPEN,735,734
1510,Special Round 2,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,SC,543,542
1511,Special Round 2,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,Group 1,OBC-NCL,556,548
1512,Special Round 2,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,Group 1,EWS,552,549
1513,Special Round 2,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,OPEN,744,739
1514,Special Round 2,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,SC,552,552
