Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
894,Round 1,"International Institute of Information Technology, Naya Raipur",Computer Science & Engineering,Group 1,OPEN,602,529
895,Round 1,University of Hyderabad,Bioinformatics,Group 1,EWS,471,441
896,Round 1,"National Institute of Technology Karnataka, Surathkal",Manufacturing Engineering,Group 1,EWS,445,439
897,Round 1,"National Institute of Technology Karnataka, Surathkal",Mechatronics Engineering,Group 2,ST,315,315
898,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering (Information Security),Group 1,EWS,727,718
899,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,Group 1,SC,598,585
900,Round 1,National Institute of Technology Meghalaya,Computer Science & Engineering,Group 1,OBC-NCL,471,450
901,Round 1,National Institute of Technology Patna,Master of Urban & Regional Planning,Group 1,SC,439,439
902,Round 1,National Institute of Technology Patna,Design Engineering,Group 1,OPEN,404,369
903,Round 1,National Institute of Technology Puducherry,Structural Engineering - Resilience and Sustainability,Group 1,SC,289,289
904,Round 1,National Institute of Technology Raipur,Medical Devices with a specialization in Critical Care and IVD,Group 1,OBC-NCL,352,346
905,Round 1,National Institute of Technology Raipur,Information Technology,Group 2,EWS,548,548
906,Round 1,National Institute of Technology Raipur,Information Technology,Group 3,ST,314,314
907,Round 1,National Institute of Technology Raipur,Machine Design,Group 1,SC,232,232
908,Round 1,National Institute of Technology Sikkim,M.Tech in VLSI and Embedded Systems,Group 1,SC,330,315
909,Round 1,"National Institute of Technology, Jamshedpur",Data Science and Engineering,Group 1,OPEN,675,602
910,Round 1,"National Institute of Technology, Jamshedpur",Defence Technology- Combat Vehicle Engineering,Group 1,OPEN,404,359
911,Round 1,"National Institute of Technology, Jamshedpur",Energy Systems Engineering,Group 1,OPEN,358,350
912,Round 1,"National Institute of Technology, Jamshedpur",Industrial Metallurgy,Group 1,OPEN,404,404
913,Round 1,"Punjab Engineering College, Chandigarh",Environmental Engineering,Group 1,SC,273,273
914,Round 1,"Punjab Engineering College, Chandigarh",Computer Science & Engineering,Group 1,SC,435,381
915,Round 1,"International Institute of Information Technology, Bhubaneswar",Computer Science & Engineering,Group 1,SC,427,370
916,Round 1,Central University of Rajasthan,Sustainable Architecture,Group 1,OPEN,508,457
917,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Semiconductor Chip Design),Group 1,OBC-NCL,424,395
918,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (UAVs),Group 1,OPEN,589,416
919,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Mechanical Engineering (Marine Engineering),Group 1,SC,245,245
920,Round 1,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Machine Design,Group 1,OBC-NCL,335,335
